Epoch 318, Loss: 0.14359363825139354, Accuracy: 0.9207333333333333
Epoch 319, Loss: 0.15057672478132328, Accuracy: 0.9184333333333333
Epoch 320, Loss: 0.14009293945411505, Accuracy: 0.9216333333333333
Epoch 321, Loss: 0.13994426929028864, Accuracy: 0.9218666666666666
Epoch 322, Loss: 0.14273254851163444, Accuracy: 0.9190666666666667
Epoch 323, Loss: 0.14151644820378997, Accuracy: 0.9215666666666666
Epoch 324, Loss: 0.13913295380139756, Accuracy: 0.9221
Epoch 325, Loss: 0.1396297784680027, Accuracy: 0.9213666666666667
Epoch 326, Loss: 0.14369930563715555, Accuracy: 0.9200333333333334
Epoch 327, Loss: 0.14578809020882946, Accuracy: 0.9190666666666667
Epoch 328, Loss: 0.14802108761870256, Accuracy: 0.9192666666666667
Epoch 329, Loss: 0.1397457288862285, Accuracy: 0.9214
Epoch 330, Loss: 0.13422203827965057, Accuracy: 0.9244333333333333
Epoch 331, Loss: 0.1413998022296671, Accuracy: 0.9210666666666667
Epoch 332, Loss: 0.13822062465093904, Accuracy: 0.9229666666666667
Epoch 333, Loss: 0.14138114023006568, Accuracy: 0.9219666666666667
Epoch 334, Loss: 0.13751571802264553, Accuracy: 0.9231
Epoch 335, Loss: 0.14100331686815973, Accuracy: 0.921
Epoch 336, Loss: 0.13872902171086457, Accuracy: 0.9218
Epoch 337, Loss: 0.14207697823896245, Accuracy: 0.9212666666666667
Epoch 338, Loss: 0.14295205896941282, Accuracy: 0.9201666666666667
Epoch 339, Loss: 0.13454487080038605, Accuracy: 0.9239666666666667
Epoch 340, Loss: 0.1430590229771905, Accuracy: 0.9195666666666666
Epoch 341, Loss: 0.14030322621939545, Accuracy: 0.9209
Epoch 342, Loss: 0.1474777537129693, Accuracy: 0.9178666666666667
Epoch 343, Loss: 0.14069413109603573, Accuracy: 0.9225666666666666
Epoch 344, Loss: 0.1435532733419184, Accuracy: 0.9199666666666667
Epoch 345, Loss: 0.14911898509678195, Accuracy: 0.9162333333333333
Epoch 346, Loss: 0.14308641112204326, Accuracy: 0.9189333333333334
Epoch 347, Loss: 0.1407960691189362, Accuracy: 0.9208
Epoch 348, Loss: 0.14549342707052068, Accuracy: 0.9206333333333333
Epoch 349, Loss: 0.1462142778781511, Accuracy: 0.9164
Epoch 350, Loss: 0.1603292601214627, Accuracy: 0.9078
Epoch 351, Loss: 0.14677932908979513, Accuracy: 0.9168666666666667
Epoch 352, Loss: 0.1442281690315675, Accuracy: 0.9193
Epoch 353, Loss: 0.1422372159816451, Accuracy: 0.9205
Epoch 354, Loss: 0.14243265986442566, Accuracy: 0.9206666666666666
Epoch 355, Loss: 0.1427255116908227, Accuracy: 0.9202666666666667
Epoch 356, Loss: 0.13560252835563683, Accuracy: 0.9252333333333334
Epoch 357, Loss: 0.14182798842252312, Accuracy: 0.9207
Epoch 358, Loss: 0.13774342784437082, Accuracy: 0.9234333333333333
Epoch 359, Loss: 0.136939239609292, Accuracy: 0.9234666666666667
Epoch 360, Loss: 0.14252069630360198, Accuracy: 0.9205
Epoch 361, Loss: 0.14120553219217366, Accuracy: 0.9206666666666666
Epoch 362, Loss: 0.14204163672560352, Accuracy: 0.9211666666666667
Epoch 363, Loss: 0.1469532693341627, Accuracy: 0.9199666666666667
Epoch 364, Loss: 0.16273055547627352, Accuracy: 0.9117333333333333
Epoch 365, Loss: 0.14958034859875502, Accuracy: 0.9185
Epoch 366, Loss: 0.13530894872432542, Accuracy: 0.9253666666666667
Epoch 367, Loss: 0.14524845349586615, Accuracy: 0.9189
Epoch 368, Loss: 0.14529710190402248, Accuracy: 0.9179666666666667
Epoch 369, Loss: 0.14149158100708056, Accuracy: 0.9208666666666666
Epoch 370, Loss: 0.14602471629189231, Accuracy: 0.9174333333333333
Epoch 371, Loss: 0.14518013962749707, Accuracy: 0.9202666666666667
Epoch 372, Loss: 0.14662423117433565, Accuracy: 0.9171333333333334
Epoch 373, Loss: 0.13678624247342852, Accuracy: 0.9232
Epoch 374, Loss: 0.14493549558318267, Accuracy: 0.9179333333333334
Epoch 375, Loss: 0.1417040261676756, Accuracy: 0.9209666666666667
Epoch 376, Loss: 0.1396160602443299, Accuracy: 0.9223
Epoch 377, Loss: 0.1414865613993952, Accuracy: 0.9201
Epoch 378, Loss: 0.14195715484477706, Accuracy: 0.9203333333333333
Epoch 379, Loss: 0.14231133498882842, Accuracy: 0.9207666666666666
Epoch 380, Loss: 0.14207635996705395, Accuracy: 0.9210666666666667
Epoch 381, Loss: 0.14415483795485254, Accuracy: 0.9192333333333333
Epoch 382, Loss: 0.14339361731278694, Accuracy: 0.9198666666666667
Epoch 383, Loss: 0.14593459046998267, Accuracy: 0.9180333333333334
Epoch 384, Loss: 0.14602649363420778, Accuracy: 0.9178666666666667
Epoch 385, Loss: 0.13739213625253258, Accuracy: 0.9227666666666666
Epoch 386, Loss: 0.14360766251713541, Accuracy: 0.9196666666666666
Epoch 387, Loss: 0.14156256609801518, Accuracy: 0.9204666666666667
Epoch 388, Loss: 0.13969797180113147, Accuracy: 0.9214333333333333
Epoch 389, Loss: 0.1419049373243825, Accuracy: 0.9191
Epoch 390, Loss: 0.16276627810577216, Accuracy: 0.9100666666666667
Epoch 391, Loss: 0.15559629521380036, Accuracy: 0.9148666666666667
